Date,Source,Merchant,Site,Discount
2021-09-12,Rakuten,Biochem Protein,biochemprotein.com,0.04
2021-09-12,Rakuten,BioClarity,bioclarity.com,0.075
2021-09-12,Rakuten,BioSchwartz,bioschwartz.com,0.075
2021-09-12,Rakuten,Biossance,biossance.com,0.05
2021-09-12,Rakuten,Biotherm,biotherm.com,0.05
2021-09-12,Rakuten,Birchbox,birchbox.com,0.03
2021-09-12,Rakuten,Bissell,bissell.com,0.01
2021-09-12,Rakuten,bistroMD,bistromd.com,17.5
2021-09-12,Rakuten,Bite Beauty,bitebeauty.com,0.04
2021-09-12,Rakuten,BizChair,bizchair.com,0.015
2021-09-12,Rakuten,BJ's,bjs.com,0.015
2021-09-12,Rakuten,BJJ Fanatics,bjjfanatics.com,0.02
2021-09-12,Rakuten,Blain's Farm and Fleet,blainsfarmandfleet.com,0.015
2021-09-12,Rakuten,Blair,blair.com,0.025
2021-09-12,Rakuten,Blank NYC,blanknyc.com,0.055
2021-09-12,Rakuten,Blenders Eyewear,blenderseyewear.com,0.03
2021-09-12,Rakuten,Blendtec,blendtec.com,0.04
2021-09-12,Rakuten,Blick Art Materials,dickblick.com,0.015
2021-09-12,Rakuten,Blinds.com,blinds.com,0.015
2021-09-12,Rakuten,Bliss,bliss.com,0.05
2021-09-12,Rakuten,Bloomingdale's,bloomingdales.com,0.02
2021-09-12,Rakuten,Bloomist,bloomist.com,0.02
2021-09-12,Rakuten,Blooms Today Flowers,bloomstoday.com,0.2
2021-09-12,Rakuten,bloomscape,bloomscape.com,0.03
2021-09-12,Rakuten,BloomsyBox,bloomsybox.com,7.5
2021-09-12,Rakuten,BloomThat,bloomthat.com,nan
2021-09-12,Rakuten,Blue & Cream,blueandcream.com,0.04
2021-09-12,Rakuten,Blue Apron,blueapron.com,20
2021-09-12,Rakuten,Blue Bottle Coffee,bluebottlecoffee.com,0.025
2021-09-12,Rakuten,Blue Nile,bluenile.com,0.01
2021-09-12,Rakuten,Blue Sky,bluesky.com,0.03
2021-09-12,Rakuten,Blue Sky Vitamin,blueskyvitamin.com,0.025
2021-09-12,Rakuten,Bluebella,bluebella.com,0.05
2021-09-12,Rakuten,Bluebird Botanicals,bluebirdbotanicals.com,0.03
2021-09-12,Rakuten,Bluefly,bluefly.com,nan
2021-09-12,Rakuten,Bluehost,bluehost.com,10
2021-09-12,Rakuten,bluemercury,bluemercury.com,0.02
2021-09-12,Rakuten,Blurb,blurb.com,0.01
2021-09-12,Rakuten,Bob's Stores,bobstores.com,nan
2021-09-12,Rakuten,boba,boba.com,0.035
2021-09-12,Rakuten,Bobbi Brown Cosmetics,bobbibrowncosmetics.com,0.04
2021-09-12,Rakuten,Bodega,bdgastore.com,0.015
2021-09-12,Rakuten,Boden,boden.com,0.02
2021-09-12,Rakuten,The Body Shop,thebodyshop.com,0.03
2021-09-12,Rakuten,BodyBio,bodybio.com,0.03
2021-09-12,Rakuten,Bogner,bogner.com,0.04
2021-09-12,Rakuten,Bogs Footwear,bogsfootwear.com,0.025
2021-09-12,Rakuten,Bohemian Mama,bohemianmama.com,0.03
2021-09-12,Rakuten,Bokksu,bokksu.com,5
2021-09-12,Rakuten,Boll & Branch,bollandbranch.com,0.02
2021-09-12,Rakuten,Bomber Eyewear,bombereyewear.com,0.03
2021-09-12,Rakuten,Bon-Ton,bonton.com,nan
2021-09-12,Rakuten,Bona Fide Masks,bonafidemasks.com,0.05
2021-09-12,Rakuten,Bonafide,bonafide.com,0.05
2021-09-12,Rakuten,Bond No. 9,bond9.com,0.03
2021-09-12,Rakuten,Bonobos,bonobos.com,nan
2021-09-12,Rakuten,boohoo,boohoo.com,0.03
2021-09-12,Rakuten,boohooMan,boohooman.com,0.035
2021-09-12,Rakuten,The Book Depository,thebookdepository.com,0.025
2021-09-12,Rakuten,Book Outlet,bookoutlet.com,0.025
2021-09-12,Rakuten,Booking.com,booking.com,0.04
2021-09-12,Rakuten,BookPal,book-pal.com,0.025
2021-09-12,Rakuten,BooksAMillion,booksamillion.com,0.025
2021-09-12,Rakuten,BookVIP,bookvip.com,0.03
2021-09-12,Rakuten,Boombod,boombod.com,0.05
2021-09-12,Rakuten,Boost Mobile,boostmobile.com,0.025
2021-09-12,Rakuten,Borghese,borghese.com,0.04
2021-09-12,Rakuten,Boscov's,boscovs.com,0.025
2021-09-12,Rakuten,Bose,bose.com,0.05
2021-09-12,Rakuten,Boston College Bookstore,bostoncollegebookstore.com,nan
2021-09-12,Rakuten,Boston Proper,bostonproper.com,0.06
2021-09-12,Rakuten,Botanic Choice,botanicchoice.com,0.09
2021-09-12,Rakuten,Bottega Veneta,bottegaveneta.com,nan
2021-09-12,Rakuten,The Bouqs Company,thebouqs.com,0.06
2021-09-12,Rakuten,Boutique Rugs,boutiquerugs.com,0.03
2021-09-12,Rakuten,Bowflex Shop,bowflexshop.com,0.025
2021-09-12,Rakuten,BowlersMart,bowlersmart.com,0.025
2021-09-12,Rakuten,Boxed,boxed.com,0.015
2021-09-12,Rakuten,BoxLunch,boxlunch.com,0.01
2021-09-12,Rakuten,Bradford Exchange,bradfordexchange.com,0.02
2021-09-12,Rakuten,Bradford Exchange Checks,bradfordexchangechecks.com,0.1
2021-09-12,Rakuten,Brahmin,brahmin.com,0.035
2021-09-12,Rakuten,Brain Sensei,brainsensei.com,0.1
2021-09-12,Rakuten,Brainiac,brainiacfoods.com,0.03
2021-09-12,Rakuten,BrainMD,brainmdhealth.com,0.07
2021-09-12,Rakuten,Brandless,brandless.com,0.015
2021-09-12,Rakuten,Bravado Designs,bravadodesigns.com,0.03
2021-09-12,Rakuten,BRAVO SIERRA,bravosierra.com,0.06
2021-09-12,Rakuten,Brentwood Home,brentwoodhome.com,0.05
2021-09-12,Rakuten,Briggs & Riley Travelware,briggs-riley.com,0.025
2021-09-12,Rakuten,Bright Cellars,brightcellars.com,10
2021-09-12,Rakuten,Brilliant,brilliant-org.com,5
2021-09-12,Rakuten,Briogeo,briogeo.com,0.015
2021-09-12,Rakuten,British Airways,britishairways.com,0.01
2021-09-12,Rakuten,Brochu Walker,brochuwalker.com,0.04
